"","Cantidad_TGC_1","Cantidad_TGC_2","Respuesta_A","Respuesta_B","Direccion","Separacion","correctas_A","correctas_B","correctas"
"8292","1","1","1","2","45",8,1,0,0
"8293","3","1","1","1","90",5,0,1,0
"8294","0","1","0","1","45",8,1,1,1
"8295","1","1","1","1","90",20,1,1,1
"8296","1","1","1","1","135",14,1,1,1
"8297","2","1","2","1","135",5,1,1,1
"8298","0","1","2","2","45",14,0,0,0
"8299","3","1","2","1","45",3,0,1,0
"8300","1","1","2","1","0",17,0,1,0
"8301","0","1","0","2","0",14,1,0,0
"8302","1","1","1","1","90",20,1,1,1
"8303","0","0","1","2","45",17,0,0,0
"8304","1","2","1","2","135",20,1,1,1
"8305","0","2","0","2","135",3,1,1,1
"8306","0","0","0","1","135",17,1,0,0
"8307","0","1","0","1","45",8,1,1,1
"8308","0","3","0","3","90",8,1,1,1
"8309","1","1","2","1","90",3,0,1,0
"8310","2","1","2","1","90",14,1,1,1
"8311","0","1","0","1","135",3,1,1,1
"8312","0","1","0","1","0",8,1,1,1
"8313","0","1","1","1","90",3,0,1,0
"8314","2","2","2","2","0",3,1,1,1
"8315","1","2","1","1","0",14,1,0,0
"8316","1","0","1","1","0",8,1,0,0
"8317","1","1","1","2","135",3,1,0,0
"8318","1","1","1","1","90",11,1,1,1
"8319","2","0","2","1","90",17,1,0,0
"8320","0","2","1","3","0",20,0,0,0
"8321","2","1","2","2","135",11,1,0,0
"8322","2","3","2","3","45",3,1,1,1
"8323","2","0","1","0","135",3,0,1,0
"8324","0","2","0","2","45",3,1,1,1
"8325","1","1","1","1","90",20,1,1,1
"8326","1","0","1","2","90",20,1,0,0
"8327","2","1","2","1","90",3,1,1,1
"8328","0","0","1","0","90",5,0,1,0
"8329","1","1","2","1","0",20,0,1,0
"8330","2","1","2","1","135",8,1,1,1
"8331","0","1","0","1","45",5,1,1,1
"8332","0","1","0","2","0",11,1,0,0
"8333","0","2","0","1","90",17,1,0,0
"8334","0","2","0","2","45",14,1,1,1
"8335","0","1","0","2","0",17,1,0,0
"8336","1","1","1","2","0",8,1,0,0
"8337","1","1","1","2","0",14,1,0,0
"8338","1","0","1","1","45",20,1,0,0
"8339","3","0","3","0","0",3,1,1,1
"8340","0","1","1","2","135",17,0,0,0
"8341","0","0","0","1","0",17,1,0,0
"8342","0","2","0","2","0",8,1,1,1
"8343","1","0","2","1","45",14,0,0,0
"8344","1","0","1","0","135",20,1,1,1
"8345","0","2","0","1","90",17,1,0,0
"8346","2","0","2","1","45",3,1,0,0
"8347","2","0","2","1","135",8,1,0,0
